"language","setCode","cardId","defaultVariantId","collectorNumber","variants","approvedFacePresent","beforePreferredBlank","afterPreferredBlank","presentation","sourceVariantId","assetId"
"zh-cn","151c","d59c6386-8f7d-4e7b-84f0-ac4ca353ba3f","106bede0-c167-4821-a15f-96228d698e7c","037","3","true","false","false","exact","106bede0-c167-4821-a15f-96228d698e7c","d6e84a2b-4a66-4691-8d07-a27fe08fe14f"
"zh-cn","151c","a041199e-0349-4da8-8524-dcc9e678c625","1e218cd6-c4b7-4da4-8671-3e32e6747c32","038","1","true","false","false","exact","1e218cd6-c4b7-4da4-8671-3e32e6747c32","e706cb85-de89-4f87-9dbe-74b92aa98a64"
"zh-cn","151c","bb3ceae8-7bd9-47ba-8070-368c00549d09","1f1ee985-03e9-402e-aa26-0f108adde700","039","3","true","false","false","exact","1f1ee985-03e9-402e-aa26-0f108adde700","88bb2d90-de19-46a8-a49c-1c3487a54576"
"zh-cn","151c","1a9c96cf-eb5f-4020-a1cc-ff5e8e3b3100","1c5250c9-afbb-4cb0-bb0a-84cd84167e5e","040","1","true","false","false","exact","1c5250c9-afbb-4cb0-bb0a-84cd84167e5e","05a584ff-efa4-4f2e-9859-e4c7648688c0"
"zh-cn","151c","72e8735d-d069-44e6-bf4f-6c254bf71732","1db26d26-e663-423e-870a-b4d20d8571f3","042","3","true","false","false","exact","1db26d26-e663-423e-870a-b4d20d8571f3","9133cf06-0b70-4dc4-89e8-2b8d54175dca"
"zh-cn","151c","11ea2b44-64e2-4dae-8d3d-3b448735a4bb","042d97ea-7d23-491d-aef3-7a26871c4975","043","3","true","false","false","exact","042d97ea-7d23-491d-aef3-7a26871c4975","da8297a1-da9e-4561-b186-a99b656368dd"
"zh-cn","151c","b6ec1016-2123-446d-b74f-98c24cf65338","191018ae-a084-4548-b4be-c9024149e489","051","3","true","false","false","exact","191018ae-a084-4548-b4be-c9024149e489","26f42a7c-08a7-472f-bc25-df584162a8a0"
"zh-cn","151c","d4f1bb89-6ac2-4382-9ac9-0bd325ab6cde","08171c85-5bef-47c2-83ea-525b28b8c8f6","052","3","true","false","false","exact","08171c85-5bef-47c2-83ea-525b28b8c8f6","bc1f70a2-6681-412b-984f-53f9dc8a95b2"
"zh-cn","151c","9b476ab5-7909-44d5-b72f-2745ac6e0d93","1665a54e-dd01-4caf-a194-4e7fa2174ea6","055","3","true","false","false","exact","1665a54e-dd01-4caf-a194-4e7fa2174ea6","eda92291-5502-416f-a928-17aee56b52fa"
"zh-cn","151c","a43a09a5-c478-494d-8ac3-145239df90d8","28a03a02-f9c9-469c-9612-30724b347375","058","3","true","false","false","exact","28a03a02-f9c9-469c-9612-30724b347375","c5019a31-917d-48d5-9179-9058e2c456c0"
"zh-cn","151c","5fa4950f-84a6-46f7-a194-a803ccd7a661","1d04c2c6-7aef-49cc-bafa-494bf76e3b3e","060","3","true","false","false","exact","1d04c2c6-7aef-49cc-bafa-494bf76e3b3e","0dacfefb-390a-4ba7-88f1-48afd992ecc0"
